Net Status Report
Filename     : C:\Users\Ryan\Real Documents\Engineering Projects\IEEE-Robot\IEEE_Robot_Mainboard\Motor_Control_Board.PcbDoc
Date         : 3/6/2016
Time         : 10:15:49 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    3.3V, Signal Layers Only, 22414.488mils
    5V, Signal Layers Only, 26450.683mils
    AD_CH0, Signal Layers Only, 368.671mils
    AD_CH1, Signal Layers Only, 363.068mils
    AD_CH2, Signal Layers Only, 354.856mils
    AD_CH3, Signal Layers Only, 654.53mils
    AIOUT1, Signal Layers Only, 4880.776mils
    AIOUT2, Signal Layers Only, 3856.904mils
    AIOUT3, Signal Layers Only, 4247.57mils
    AIOUT4, Signal Layers Only, 4436.764mils
    A_ENC1, Signal Layers Only, 4727.284mils
    A_ENC2, Signal Layers Only, 4841.577mils
    A_ENC3, Signal Layers Only, 4723.147mils
    A_ENC4, Signal Layers Only, 4773.683mils
    A_OUT1, Signal Layers Only, 512.105mils
    A_OUT2, Signal Layers Only, 517.464mils
    A_OUT3, Signal Layers Only, 517.464mils
    A_OUT4, Signal Layers Only, 517.464mils
    B_ENC1, Signal Layers Only, 4800.698mils
    B_ENC2, Signal Layers Only, 4671.907mils
    B_ENC3, Signal Layers Only, 4637.997mils
    B_ENC4, Signal Layers Only, 4717.744mils
    B_OUT1, Signal Layers Only, 525.985mils
    B_OUT2, Signal Layers Only, 461.244mils
    B_OUT3, Signal Layers Only, 521.158mils
    B_OUT4, Signal Layers Only, 524.454mils
    ECHO_A_1, Signal Layers Only, 2592.409mils
    ECHO_A_2, Signal Layers Only, 2801.805mils
    ECHO_A_3, Signal Layers Only, 2445.036mils
    ECHO_A_4, Signal Layers Only, 2251.64mils
    ECHO_B_1, Signal Layers Only, 2403.415mils
    ECHO_B_2, Signal Layers Only, 2550.223mils
    ECHO_B_3, Signal Layers Only, 2719.761mils
    ECHO_B_4, Signal Layers Only, 2903.958mils
    ENABLE1, Signal Layers Only, 5405.818mils
    ENABLE2, Signal Layers Only, 4537.563mils
    ENABLE3, Signal Layers Only, 3673.002mils
    ENABLE4, Signal Layers Only, 3838.041mils
    GND, Signal Layers Only, 14109.547mils
    IMU_INT, Signal Layers Only, 6302.185mils
    IMU_RST, Signal Layers Only, 5948.239mils
    LED0, Signal Layers Only, 1368.939mils
    LED1, Signal Layers Only, 1590.602mils
    LED2, Signal Layers Only, 1733.634mils
    LED3, Signal Layers Only, 1924.979mils
    LED4, Signal Layers Only, 2269.26mils
    LED5, Signal Layers Only, 2549.247mils
